status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
5550296508_10157751451301509,These puppies were cloned in a bid to treat a cardiovascular disease http://cnn.it/2kWjN4y,Puppies bred with medical disorders cloned,video,https://www.facebook.com/cnn/videos/10157751451301509/,2017-12-30 19:00:00,1361,154,150,734,52,44,1,187,343,0
5550296508_10157753671766509,How to buy and sell bitcoin... and why you might not want to: http://cnn.it/2DwAgTX,,video,https://www.facebook.com/cnn/videos/10157753671766509/,2017-12-30 10:03:13,3181,1165,1517,2934,90,56,93,0,8,0
5550296508_10157753390951509,"More than a dozen animals rescued from a zoo outside Aleppo, Syria, have found a new home in Jordan http://cnn.it/2zNdFjJ",,video,https://www.facebook.com/cnn/videos/10157753390951509/,2017-12-30 08:32:21,2934,97,335,2200,514,18,5,194,3,0
5550296508_10157752666206509,"A SpaceX rocket hauling a group of telecom satellites into Earth's orbit last week left a strange, morphing orb glowing in the night sky http://cnn.it/2EcFg1e",Security cam catches attack on 86-year-old at retirement home,video,https://www.facebook.com/cnn/videos/10157752666206509/,2017-12-30 01:31:56,1282,188,162,1123,55,81,21,1,1,0
5550296508_10157750985061509,This charity is launching a vending machine for the homeless http://cnn.it/2CjuZCo,This charity is launching a vending machine for the homeless,video,https://www.facebook.com/cnn/videos/10157750985061509/,2017-12-29 16:00:00,17456,487,5593,13501,3394,530,15,7,9,0
5550296508_10157749354166509,This family started an organic farm after their 4-year-old son was diagnosed with cancer and began harvesting food on their own and donating it http://cnn.it/2DuJcJM,,video,https://www.facebook.com/cnn/videos/10157749354166509/,2017-12-29 03:02:10,5730,152,1340,4522,1002,180,3,20,3,0
5550296508_10157749175866509,2017: The year in photos http://cnn.it/2C4YwAq,,video,https://www.facebook.com/cnn/videos/10157749175866509/,2017-12-29 01:31:58,2510,373,488,1876,135,48,30,328,93,0
5550296508_10157745984711509,CNN's Nima Elbagir went undercover to witness a human slave auction in Libya. Her report ignited protests and international condemnation about slavery. http://cnn.it/2zGKWx7,Nima Elbagir: I  went undercover in Libya. I didn't expect what followed,video,https://www.facebook.com/cnn/videos/10157745984711509/,2017-12-28 05:31:38,3623,524,1291,1689,38,123,16,1047,710,0
5550296508_10157745879486509,"A brief history of black, the ""queen of all colors"" http://cnn.it/2Dn9g9m",,video,https://www.facebook.com/cnn/videos/10157745879486509/,2017-12-28 04:31:38,551,146,173,473,42,19,13,3,1,0
5550296508_10157745740621509,"At the Pope's farm in Italy, workers grow his favorite vegetables and feed the chickens remnants of communion wafers http://cnn.it/2C1RJaK",,video,https://www.facebook.com/cnn/videos/10157745740621509/,2017-12-28 03:01:42,2719,115,351,2404,218,77,17,0,3,0
