status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
18807449704_10156272807139705,This sounds oddly familiar...,Google Maps is trying to out-Yelp Yelp... and it might succeed,link,https://mashable.com/2018/05/08/google-maps-gets-several-updates/?utm_cid=mash-com-fb-main-link#8DMUMhYvD9qk,2018-05-12 18:30:00,25,1,1,25,0,0,0,0,0,0
18807449704_10156255066004705,This window lets you experiences augmented reality without the glasses.,AR without the glasses,video,https://www.facebook.com/mashable/videos/10156255066004705/,2018-05-12 06:30:00,457,16,201,403,24,26,3,0,1,0
18807449704_10156255065204705,"Finally, a car umbrella to keep your vehicle cool in high temps.",This car umbrella wants to keep your car cool,video,https://www.facebook.com/mashable/videos/10156255065204705/,2018-05-12 05:30:00,1673,188,974,1479,44,93,57,0,0,0
18807449704_10156255064144705,"Conquer the road, then ride the waves with these vehicles straight out of James Bond.",Amphibious vehicle,video,https://www.facebook.com/mashable/videos/10156255064144705/,2018-05-12 03:30:00,1500,93,877,1309,82,105,2,0,2,0
18807449704_10156255062434705,This fancy shoe cover is perfect for keeping your floors clean.,Shoe Cover Machine,video,https://www.facebook.com/mashable/videos/10156255062434705/,2018-05-12 01:30:00,2336,736,1290,1695,131,96,70,21,323,0
18807449704_10156255061634705,This bath visor prevents soap from getting into your baby's eye.,Bath visor,video,https://www.facebook.com/mashable/videos/10156255061634705/,2018-05-11 23:30:00,378,100,185,337,17,3,20,1,0,0
18807449704_10156279534629705,How sound effects for your favorite movies are made.,Making of movie sound effects,video,https://www.facebook.com/mashable/videos/10156279534629705/,2018-05-11 18:30:00,1179,49,339,1022,88,68,1,0,0,0
18807449704_10156279607144705,"From Lorelai Gilmore to Carmela Soprano, here are our favorite TV moms.",TV Moms,video,https://www.facebook.com/mashable/videos/10156279607144705/,2018-05-11 18:00:00,36,1,7,34,2,0,0,0,0,0
18807449704_10156279564579705,Who knew giving employees a little freedom during work hours would lead to great ideas?,The hidden genius of Google’s 20% time,video,https://www.facebook.com/mashable/videos/10156279564579705/,2018-05-11 16:59:54,82,2,81,75,5,1,0,0,1,0
18807449704_10156278866854705,"If the watch is actually good, it could be just what Wear OS needs to stay afloat.",Google may release a Pixel-branded smartwatch,link,https://mashable.com/2018/05/11/google-may-release-pixel-branded-smartwatch/?utm_cid=mash-com-fb-main-link#8DMUMhYvD9qk,2018-05-11 12:40:00,19,1,2,16,2,1,0,0,0,0
18807449704_10156276914224705,"The fashion industry is super wasteful, and this man has a solution",Zero Waste Daniel is taking on one of our biggest waste problems,video,https://www.facebook.com/mashable/videos/10156276914224705/,2018-05-11 10:00:01,3705,243,2945,2825,781,96,3,0,0,0
18807449704_10156277349374705,What would you do if 20% of your work week was dedicated to doing anything you want?,The hidden genius of Google’s 20% time,video,https://www.facebook.com/mashable/videos/10156277349374705/,2018-05-11 09:00:02,85,2,44,79,4,2,0,0,0,0
18807449704_10156278571209705,"Boston Dynamics robots can now run in the woods, jump over obstacles and autonomously navigate a building.",Boston Dynamics running robots,video,https://www.facebook.com/mashable/videos/10156278571209705/,2018-05-11 08:21:26,4383,336,3028,3337,185,791,26,23,21,0
