status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
9258148868_10155722807303869,People don’t have sex with sea creatures unless the world has failed them.,Melissa Broder’s “The Pisces” Completes an Unofficial Pop-Culture Trilogy of Human-Meets-Fish Love Stories,link,http://nyer.cm/TSObDl0,2018-05-12 18:30:08,25,1,3,21,1,0,3,0,0,0
9258148868_10155722760378869,A junior at Cornell compared the Juul infatuation to the millennial love of the restaurateur and TV host Guy Fieri—“this completely bizarre food personality that people call Daddy now.”,The Promise of Vaping and the Rise of Juul,link,http://nyer.cm/O59mwMm,2018-05-12 18:00:31,19,4,6,14,0,1,3,0,1,0
9258148868_10155722725618869,"He wrote often about the tedium and senselessness of his disease, its strange edges: “I woke up hurting, but I can’t quite say why,” he sang on “Woke Up Hurting.”",The Scott Hutchison Song I Won’t Forget,link,http://nyer.cm/Nf54PPd,2018-05-12 17:33:07,202,9,19,93,35,0,0,74,0,0
9258148868_10155722677738869,We take it for granted when Siri schedules our appointments and when Facebook tags our photos and subverts our democracy.,How Frightened Should We Be of A.I.?,link,http://nyer.cm/EnObZY5,2018-05-12 17:00:30,60,11,28,54,3,2,0,1,0,0
9258148868_10155722593738869,"""My decision, in 2010, to get off the road and enroll Casper at school was made for many reasons, not the least of which was the recognition that my supposed freedom was impinging on his independence.""","Six Years on the Road, as an Artist and a Mother",link,http://nyer.cm/lpBvIxF,2018-05-12 16:21:52,155,12,12,149,5,1,0,0,0,0
9258148868_10155722552388869,Tinga poblana is a bad breakup. Oysters mignonette is learning to like something after you’re far too old to think you might.,Diana Henry’s Love Affairs with Menus,link,http://nyer.cm/YeBF5Al,2018-05-12 16:00:24,11,0,4,9,2,0,0,0,0,0
9258148868_10155722488438869,"In “My Birth,” the artist Carmen Winant provides a long list of questions that she would be all too willing to answer, among them: Can you describe the quality of pain? Did you fear for your life? Did you have the sense that you were giving birth to yourself? Was the experience sacred? Did you experience orgasm?",An Artist’s Vast Collection of Images of Women (and Her Own Mother) Giving Birth,link,http://nyer.cm/QRlGcQZ,2018-05-12 15:26:49,79,6,14,72,7,0,0,0,0,0
9258148868_10155722438128869,"""I had a sense that she was a good teacher, but I had no idea that she was such an influential one, and in the very area I had chosen.""",James Wood: Lessons from My Mother,link,http://nyer.cm/Rwv5EuW,2018-05-12 15:00:23,72,0,9,63,9,0,0,0,0,0
9258148868_10155722366988869,"The New Yorker Radio Hour: War-gaming is an old and low-tech tool, but officers and diplomats still turn to it to model today’s most complex geopolitical situations.","How to Contain the Threat of Russia, and Jack Handey on the Mysteries of Humor",link,http://nyer.cm/Ea2oYBK,2018-05-12 14:23:03,15,2,6,15,0,0,0,0,0,0
9258148868_10155722365423869,"An election near Pittsburgh between a young, D.S.A.-backed candidate and an establishment Democrat embodies the larger, existential battle within the Party as the midterms approach.",A Tiny State Legislature Race That Represents the Future of the Democratic Party,link,http://nyer.cm/HTPiRXe,2018-05-12 14:22:07,63,8,23,57,5,1,0,0,0,0
9258148868_10155722325938869,"“I worry,” William Barber says, “about the way that faith is cynically used by some to serve hate, fear, racism, and greed.”f",William Barber Takes on Poverty and Race in the Age of Trump,link,http://nyer.cm/kSFTPjU,2018-05-12 14:00:44,467,20,121,384,52,2,2,25,2,0
