status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10643211755_10156907867886756,"Two directors whose films have been nominated for the Palme d'Or award are a long ways away from the glamour: Russian director Kirill S. Serebrennikov is under arrest in his apartment in Moscow;
Jafar Panahi is prohibited from leaving Iran to travel to Cannes.",The 2 Directors Missing From Cannes,link,https://www.npr.org/2018/05/12/610560193/the-2-directors-missing-from-cannes?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180512,2018-05-12 19:00:00,415,11,65,169,3,78,2,146,17,0
10643211755_10156907876271756,It's the Leonard Bernstein centennial this year and the Baltimore Symphony Orchestra has been celebrating.,'Something Develops Onstage Called Love': Baltimore Symphony Celebrates The Bernstein Centennial,link,https://www.npr.org/sections/deceptivecadence/2018/05/12/610517474/something-develops-onstage-called-love-baltimore-symphony-celebrates-the-bernste?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180512,2018-05-12 18:00:00,552,23,110,461,84,7,0,0,0,0
10643211755_10156907640396756,Among the highlights in education news this week: U.S. News and World Report released its rankings of the best high schools in the country.,Single Mothers Balance Care And Coursework; New High School Rankings,link,https://www.npr.org/sections/ed/2018/05/12/610043816/single-mothers-balance-care-and-coursework-new-high-school-rankings?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180512,2018-05-12 17:00:00,342,19,53,316,14,9,0,2,1,0
10643211755_10156908087301756,"More than 40 years after his death, the King's legacy ticks on.  Phillips will sell an Omega watch once owned by Elvis Presley at an auction in Geneva, Switzerland today. The company estimates the watch will fetch between $52,900 and $106,000.",Elvis Presley's Diamond-Encrusted Omega Watch To Be Auctioned Off,link,https://www.npr.org/2018/05/11/610529496/elvis-presleys-diamond-encrusted-omega-watch-to-be-auctioned-off?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180512,2018-05-12 15:30:00,340,88,102,275,6,52,2,4,1,0
10643211755_10156907800676756,"Pansy Greene is one of 5.7 million Americans who have Alzheimer's disease. She and her husband Winston call her illness part of their ""journey"" together.

""Even though [we're] going through this, Pansy and I are still here. We're together. We are a couple,"" Winston says.",Taking The 'Journey' Through Alzheimer's Together,link,https://www.npr.org/2018/05/12/610451314/taking-the-journey-through-alzheimer-s-together?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180512,2018-05-12 15:00:01,1080,23,159,579,300,6,0,195,0,0
10643211755_10156908364101756,Oklahoma Governor Mary Fallin managed to anger both gun rights and LGBTQ rights activists late Friday with two separate actions.,"In A One-Two Punch, Oklahoma Governor Angers LGBTQ and Guns Rights Activists",link,https://www.npr.org/sections/thetwo-way/2018/05/12/610655737/in-a-one-two-punch-oklahoma-governor-angers-lgbtq-and-guns-rights-activists,2018-05-12 14:02:00,1652,211,143,518,11,137,282,40,664,0
10643211755_10156908209456756,"Journalists from the United States, South Korea, China, Russia and Britain will be invited to watch a special ceremony in which all of the tunnels at a North Korean nuclear test site will be destroyed.",North Korea Announces Plans To Dismantle Nuclear Test Site,link,https://www.npr.org/sections/thetwo-way/2018/05/12/610674006/north-korea-announces-plans-to-dismantle-nuclear-test-site?utm_source=dlvr.it&utm_medium=twitter,2018-05-12 13:00:01,1814,348,441,1312,52,260,182,2,6,0
10643211755_10156907993471756,"Noura Hussein's parents forced her into the marriage three years ago. She initially fled and refused to consummate the marriage. Her family lied to get her to return.

Days after the wedding ceremony, Hussein's husband raped her as three of his male relatives restrained her.",Sudanese Teen Bride Sentenced To Death For Killing Husband During Alleged Rape,link,https://www.npr.org/sections/thetwo-way/2018/05/12/610658880/sudanese-teen-bride-sentenced-to-death-for-killing-husband-during-alleged-rape?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180512,2018-05-12 12:00:01,12406,320,1217,627,6,276,5,2999,8493,0
10643211755_10156907617056756,"Even 2,000 miles away from Washington, D.C., Sen. John McCain can still make news.",John McCain's Absence Weighs On The Senate,link,https://www.npr.org/2018/05/12/610517129/john-mccains-absence-weighs-on-the-senate?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180512,2018-05-12 11:00:00,1710,81,84,1297,77,16,6,313,1,0
10643211755_10156907577971756,A Venezuelan business association says as many as 40 percent of employees either quit or are regularly skipping work,"Many Venezuelan Workers Are Leaving The Job, And The Country",link,https://www.npr.org/sections/parallels/2018/05/12/610132680/many-venezuelan-workers-are-leaving-the-job-and-the-country?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180512,2018-05-12 10:00:00,433,79,89,208,2,67,9,146,1,0
10643211755_10156907047481756,"New sanctions ""will likely have consequences that go against the stated objectives of the Trump administration,"" these researchers say.",Opinion: These Are The Potential Consequences Of Renewing Sanctions For Iran's Oil Importers,link,https://www.npr.org/sections/parallels/2018/05/10/609748871/these-are-the-potential-consequences-of-renewing-sanctions-for-irans-oil-importe?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20180512,2018-05-12 09:03:00,305,38,106,152,3,17,11,39,83,0
10643211755_10156905652911756,"Why is the rate of women dying or nearly dying from complications with pregnancy and childbirth growing in America and what can be done about it? Three women share their close calls.
 https://n.pr/2KNDeYO",'Near Miss' Mothers: The Risk of Childbirth in America,video,https://www.facebook.com/NPR/videos/10156905652911756/,2018-05-12 08:05:00,1687,112,1013,673,16,273,0,635,90,0
